rank,University
1001+,Amity University
1001+,Anadolu University
1001+,"University of the Andes, Chile"
1001+,"University of the Andes, Venezuela"
1001+,Andhra University
1001+,Universidad Andres Bello (UNAB)
1001+,Ankara University
1001+,Anna University
1001+,Annamalai University
1001+,University of Antioquia
1001+,Aoyama Gakuin University
1001+,Assiut University
1001+,Austral University of Chile
1001+,Universidad Autonoma del Estado de Hidalgo
1001+,Universidad Autonoma del Estado de Mexico (UAEMex)
1001+,Universidad Autonoma de Nuevo Leon (UANL)
1001+,Universidad Autonoma de Queretaro
1001+,Universidad Autonoma de Yucatan
1001+,Autonomous University of Baja California
1001+,Autonomous University of San Luis Potosi
1001+,Autonomous University of Sinaloa
1001+,Azarbaijan Shahid Madani University
1001+,Bahauddin Zakariya University
1001+,Bahce<U+015F>ehir University
1001+,Banasthali University
1001+,Bandung Institute of Technology (ITB)
1001+,Bashkir State University
1001+,Ba<U+015F>kent University
1001+,Belarusian State University
1001+,Belgorod State National Research University
1001+,Benemerita Universidad Autonoma de Puebla
1001+,University of Bio-Bio
1001+,University of Birjand
1001+,"Birla Institute of Technology and Science, Pilani"
1001+,University of Biskra
1001+,University of Brawijaya
1001+,Brno University of Technology
1001+,Bu-Ali Sina University
1001+,University of Bucharest
1001+,Budapest University of Technology and Economics
1001+,University of Burgos
1001+,"California State University, Long Beach"
1001+,Canterbury Christ Church University
1001+,Polytechnic University of Cartagena
1001+,University of Carthage
1001+,Catholic University of the North
1001+,University of Caxias do Sul
1001+,Ceara State University
1001+,University of Cergy-Pontoise
1001+,Chaoyang University of Technology
1001+,"University of Chemistry and Technology, Prague"
1001+,University of Chester
1001+,Chiang Mai University
1001+,Chiba Institute of Technology
1001+,Chubu University
1001+,Chungnam National University
1001+,Chung Yuan Christian University
1001+,Chuo University
1001+,Cochin University of Science and Technology
1001+,University of Colombo
1001+,Comenius University in Bratislava
1001+,University of Concepcion
1001+,Corvinus University of Budapest
1001+,Cukurova University
1001+,Czech University of Life Sciences Prague (CULS)
1001+,University of Dar es Salaam
1001+,De La Salle University
1001+,Delhi Technological University
1001+,Del Rosario University
1001+,Democritus University of Thrace
1001+,University of Dhaka
1001+,Dokuz Eylul University
1001+,Doshisha University
1001+,Prague University of Economics and Business
1001+,Edge Hill University
1001+,Ege University
1001+,Ehime University
1001+,The University of Electro-Communications
1001+,University of Engineering & Technology (UET) Lahore
1001+,Erciyes University
1001+,Universidade do Estado do Rio de Janeiro (UERJ)
1001+,Universidade do Estado de Santa Catarina
1001+,Universidade Estadual de Maringa
1001+,Universidade Estadual do Oeste do Parana (Unioeste)
1001+,Far Eastern Federal University
1001+,Fayoum University
1001+,Universidade Federal do ABC (UFABC)
1001+,Federal University of Alagoas
1001+,Universidade Federal da Bahia
1001+,Universidade Federal do Ceara (UFC)
1001+,Universidade Federal de Ciencias da Saude de Porto Alegre (UFCSPA)
1001+,Federal University of Espirito Santo
1001+,Federal University of Goias
1001+,Federal University of Itajuba
1001+,Federal University of Lavras
1001+,Federal University of Mato Grosso do Sul
1001+,Universidade Federal de Ouro Preto (UFOP)
1001+,Federal University of Para
1001+,Universidade Federal do Parana (UFPR)
1001+,Federal University of Pernambuco
1001+,Federal University of Rio Grande do Norte (UFRN)
1001+,Universidade Federal Rural do Semi-Arido
1001+,Federal University of Santa Maria
1001+,Federal University of Sao Carlos
1001+,Federal University of Vicosa
1001+,Feng Chia University
1001+,Fluminense Federal University
1001+,University of Fortaleza (UNIFOR)
1001+,Universite Freres Mentouri Constantine 1
1001+,University of Fukui
1001+,Universitas Gadjah Mada
1001+,Gazi University
1001+,Gaziantep University
1001+,University of Gda<U+0144>sk
1001+,Gebze Technical University
1001+,Gifu University
1001+,GITAM University
1001+,Government College University Lahore
1001+,Grigore T. Popa University of Medicine and Pharmacy
1001+,University of Guadalajara
1001+,University of Guanajuato
1001+,Guangxi University
1001+,Gubkin Russian State University of Oil and Gas
1001+,University of Guilan
1001+,Gunma University
1001+,Hallym University
1001+,The Hashemite University
1001+,Universite Hassan II de Casablanca
1001+,University of Havana
1001+,Helwan University
1001+,Hosei University
1001+,University of Hradec Kralove
1001+,Huaqiao University
1001+,University of Hyogo
1001+,Ibaraki University
1001+,Ibn Tofail University
1001+,Imam Abdulrahman Bin Faisal University
1001+,Incheon National University
1001+,Universidad Industrial de Santander (UIS)
1001+,Instituto Politecnico Nacional (IPN)
1001+,IPB University
1001+,I-Shou University
1001+,Istanbul Medipol University
1001+,Ivane Javakhishvili Tbilisi State University
1001+,Ivan Franko National University of Lviv
1001+,Iwate University
1001+,Izmir Institute of Technology
1001+,Kagawa University
1001+,Kagoshima University
1001+,Kanagawa University
1001+,Kangwon National University
1001+,Kansai University
1001+,Kasetsart University
1001+,Kaunas University of Technology
1001+,Kazan National Research Technological University
1001+,Kharazmi University
1001+,Khon Kaen University
1001+,KIIT University
1001+,King Mongkut’s Institute of Technology Ladkrabang
1001+,King Mongkut's University of Technology North Bangkok
1001+,King Mongkut’s University of Technology Thonburi
1001+,Kitasato University
1001+,Kochi University
1001+,Kogakuin University
1001+,Kookmin University
1001+,Kwansei Gakuin University
1001+,Kyoto Institute of Technology
1001+,Kyushu Institute of Technology (Kyutech)
1001+,Latvia University of Life Sciences and Technologies
1001+,University of Leon
1001+,University of Lethbridge
1001+,L.N. Gumilyov Eurasian National University
1001+,Lobachevsky State University of Nizhni Novgorod
1001+,University of <U+0141>od<U+017A>
1001+,Lodz University of Technology
1001+,London South Bank University
1001+,Londrina State University
1001+,Maharaja Sayajirao University of Baroda
1001+,Mahasarakham University
1001+,Universiti Malaysia Sarawak (UNIMAS)
1001+,Manipal Academy of Higher Education
1001+,University of Manouba
1001+,Marmara University
1001+,University of Marrakech Cadi Ayyad
1001+,Meiji University
1001+,Meijo University
1001+,Mendel University in Brno
1001+,Menoufia University
1001+,M’Hamed Bougara University of Boumerdes
1001+,Universidad Michoacana de San Nicolas de Hidalgo
1001+,Mie University
1001+,Ming Chuan University
1001+,Minia University
1001+,MIREA - Russian Technological University
1001+,University of Miyazaki
1001+,Mohammed V University of Rabat
1001+,University of Monastir
1001+,University of Montenegro
1001+,Moscow Aviation Institute
1001+,Moscow Power Engineering Institute
1001+,Multimedia University
1001+,University of Mumbai
1001+,University of Mysore
1001+,Nagaoka University of Technology
1001+,Nagasaki University
1001+,Nagoya City University
1001+,Nagoya Institute of Technology
1001+,Nanjing University of Aeronautics and Astronautics
1001+,Nara Medical University
1001+,Naresuan University
1001+,National Changhua University of Education
1001+,National Chiayi University
1001+,National Chin-Yi University of Technology
1001+,National Chung Cheng University
1001+,National Chung Hsing University
1001+,National University of Colombia
1001+,National University of Cordoba
1001+,National University of Cuyo
1001+,National University of Kaohsiung
1001+,National Research Saratov State University
1001+,National University of San Martin
1001+,National University of the South
1001+,National Taipei University
1001+,National Taiwan Ocean University
1001+,National Technical University Kharkiv Polytechnic Institute
1001+,National Yunlin University of Science and Technology
1001+,Nicolaus Copernicus University in Toru<U+0144>
1001+,University of Nigeria Nsukka
1001+,Slovak University of Agriculture in Nitra
1001+,University of North Carolina Wilmington
1001+,North China Electric Power University
1001+,"University of the North, Colombia"
1001+,University of North Florida
1001+,Novosibirsk State Technical University
1001+,Oakland University
1001+,Ocean University of China
1001+,Ochanomizu University
1001+,Oita University
1001+,Ondokuz Mayis University
1001+,Osaka Medical College
1001+,Osaka Prefecture University
1001+,University of Ostrava
1001+,University of Pardubice
1001+,Paris Nanterre University
1001+,Perm National Research Polytechnic University
1001+,Perm State University
1001+,University of Peshawar
1001+,Pirogov Russian National Research Medical University
1001+,PMAS Arid Agriculture University Rawalpindi
1001+,Polytechnic University of Bucharest
1001+,Polytechnic University of Timi<U+015F>oara
1001+,Pontifical Catholic University of Minas Gerais
1001+,Pontifical Catholic University of Valparaiso
1001+,Universidad Pontificia Bolivariana (UPB)
1001+,Pontificia Universidade Catolica do Parana
1001+,Prince of Songkla University
1001+,PSG College of Technology
1001+,Riga Technical University
1001+,Ritsumeikan University
1001+,Robert Gordon University
1001+,University of the Ryukyus
1001+,Saga University
1001+,Saitama University
1001+,Saitama Medical University
1001+,Samara National Research University (Samara University)
1001+,"University of Santiago, Chile (USACH)"
1001+,University of Sargodha
1001+,SASTRA University
1001+,Sathyabama Institute of Science and Technology
1001+,University of Sciences and Technology Houari Boumediene
1001+,University of Science and Technology of Oran Mohamed-Boudiaf
1001+,Sechenov University
1001+,Selcuk University
1001+,Semnan University
1001+,Seoul National University of Science and Technology (SeoulTech)
1001+,University of Sfax
1001+,Shahed University
1001+,Shahid Bahonar University of Kerman
1001+,Shahid Chamran University of Ahvaz
1001+,Shahrekord University
1001+,Shahrood University of Technology
1001+,Shibaura Institute of Technology Tokyo
1001+,Shiga University of Medical Science
1001+,Shimane University
1001+,Shinshu University
1001+,Shiraz University of Medical Sciences
1001+,Shizuoka University
1001+,University of Shizuoka
1001+,Showa University
1001+,Siberian Federal University
1001+,Siksha ‘O’ Anusandhan
1001+,University of Silesia in Katowice
1001+,Silesian University of Technology
1001+,Silpakorn University
1001+,Simon Bolivar University
1001+,Slovak University of Technology in Bratislava
1001+,Sofia University
1001+,Sohag University
1001+,University of Sonora
1001+,Soongsil University
1001+,Sophia University
1001+,University of Sousse
1001+,University of South Africa
1001+,University of South China
1001+,Southern Federal University
1001+,Southern Medical University
1001+,South Ural State University
1001+,South Valley University
1001+,University of South Wales
1001+,Southwest Jiaotong University
1001+,Srinakharinwirot University
1001+,SRM Institute of Science and Technology
1001+,State University of Ponta Grossa
1001+,State University of Santa Cruz
1001+,St Petersburg Electrotechnical University (LETI)
1001+,Suleyman Demirel University
1001+,Sumy State University
1001+,Suranaree University of Technology
1001+,SWPS University of Social Sciences and Humanities
1001+,Szent Istvan University
1001+,University of Talca
1001+,Tamil Nadu Agricultural University
1001+,Tamkang University
1001+,University of Tarapaca
1001+,Taras Shevchenko National University of Kyiv
1001+,Technical University of Cluj-Napoca
1001+,Technical University of Ko<U+0161>ice
1001+,Technical University of Liberec
1001+,"University of Technology, Iraq"
1001+,Universidade Tecnologica Federal do Parana (UTFPR)
1001+,Universiti Teknologi MARA
1001+,Institut Teknologi Sepuluh Nopember
1001+,Texas State University
1001+,Thammasat University
1001+,TOBB University of Economics and Technology
1001+,Toho University
1001+,Tokai University
1001+,Tokat Gaziosmanpa<U+015F>a University
1001+,Tokushima University
1001+,Tokyo University of Agriculture
1001+,Tokyo City University
1001+,Tokyo Denki University
1001+,Tokyo University of Marine Science and Technology
1001+,Tomas Bata University in Zlin
1001+,Tottori University
1001+,University of Toyama
1001+,Toyo University
1001+,Toyohashi University of Technology (TUT)
1001+,Tribhuvan University
1001+,Tunghai University
1001+,University of Tunis El Manar
1001+,Tzu Chi University
1001+,Ufa State Aviation Technical University
1001+,Unisinos University
1001+,Ural Federal University
1001+,Urmia University
1001+,Utsunomiya University
1001+,University of Valladolid
1001+,University of Valparaiso
1001+,"University of Veterinary and Animal Sciences, Lahore"
1001+,Vietnam National University (Ho Chi Minh City)
1001+,Vilnius Gediminas Technical University (Vilnius Tech)
1001+,V.N. Karazin Kharkiv National University
1001+,Volgograd State Technical University
1001+,Voronezh State University
1001+,VSB - Technical University of Ostrava
1001+,Warsaw University of Technology
1001+,Wenzhou Medical University
1001+,University of West Bohemia
1001+,West University of Timi<U+015F>oara
1001+,Wroc<U+0142>aw University of Science and Technology
1001+,Yamagata University
1001+,Yamaguchi University
1001+,University of Yamanashi
1001+,Yanshan University
1001+,Yarmouk University
1001+,Yazd University
1001+,Yeditepe University
1001+,Y<U+0131>ld<U+0131>z Technical University
1001+,Yokohama National University
1001+,Yuan Ze University
1001+,Zagazig University
1001+,University of Zagreb
1001+,University of Zanjan
1001+,Zhejiang University of Technology
